Packet ID,Temperature (°C),Humidity (%),RTT (ms),Latency (ms),Throughput (Bytes/s),PRB (units)
1,28.0,48.0,20.854711532592773,10.427355766296387,1390.5730584993885,0.06180324704441727
2,28.0,48.0,14.075756072998047,7.037878036499023,2060.280090788983,0.09156800403506592
3,28.0,48.0,14.25313949584961,7.126569747924805,2034.63945669265,0.0904284202974511
4,28.0,48.0,14.163732528686523,7.081866264343262,2047.4828892218088,0.09099923952096928
5,28.0,49.0,9.851932525634766,4.925966262817383,2943.58491844538,0.13082599637535022
6,28.0,48.0,6.772518157958984,3.386259078979492,4429.666971766528,0.1968740876340679
7,28.0,49.0,8.495807647705078,4.247903823852539,3295.7431666386037,0.14647747407282682
8,28.0,49.0,16.765594482421875,8.382797241210938,1789.3788395904437,0.07952794842624195
9,28.0,49.0,10.571479797363281,5.285739898681641,2837.8240866035185,0.12612551496015637
10,28.0,52.0,8.160114288330078,4.080057144165039,3676.419096593233,0.16339640429303257
11,29.0,53.0,13.836145401000977,6.918072700500488,2168.2339358640775,0.0963659527050701
12,29.0,55.0,10.146141052246094,5.073070526123047,3055.3488109784753,0.13579328048793224
13,29.0,57.0,13.372182846069336,6.686091423034668,2318.2452974842654,0.10303312433263402
14,29.0,58.0,14.835119247436523,7.417559623718262,2089.6360509779342,0.09287271337679708
15,29.0,60.0,8.660554885864258,4.330277442932129,3579.447322780454,0.1590865476791313
16,29.0,62.0,13.024330139160156,6.512165069580078,2303.3814161235996,0.1023725073832711
17,29.0,64.0,13.120174407958984,6.560087203979492,2362.7734690169,0.10501215417852888
18,29.0,66.0,14.720439910888672,7.360219955444336,2105.9153250623563,0.09359623666943806
19,29.0,73.0,34.19852256774902,17.09926128387451,877.2308786313346,0.03898803905028154
20,29.0,76.0,14.414310455322266,7.207155227661133,2081.265010420457,0.0925006671297981
21,29.0,77.0,10.688304901123047,5.344152450561523,2900.366361811287,0.1289051716360572
22,29.0,80.0,12.211799621582031,6.105899810791016,2456.6403748535727,0.10918401666015878
23,29.0,81.0,11.238813400268555,5.619406700134277,2758.2983092556055,0.1225910359669158
24,29.0,84.0,14.054536819458008,7.027268409729004,2205.693463841626,0.09803082061518338
25,29.0,85.0,9.172201156616211,4.5861005783081055,3379.777598710717,0.15021233772047632
26,30.0,87.0,8.412599563598633,4.206299781799316,3684.9489584809407,0.1637755092658196
27,30.0,87.0,12.810945510864258,6.405472755432129,2419.805780432881,0.10754692357479471
28,30.0,91.0,16.381025314331055,8.190512657165527,1831.387194900083,0.08139498644000369
29,30.0,92.0,11.104345321655273,5.552172660827637,2791.6999248523884,0.1240755522156617
30,30.0,94.0,11.490583419799805,5.745291709899902,2610.833488951136,0.11603704395338382
31,30.0,98.0,9.912490844726562,4.956245422363281,3127.367327304214,0.13899410343574284
32,30.0,98.0,6.419181823730469,3.2095909118652344,4673.492794532759,0.20771079086812264
33,30.0,98.0,9.970664978027344,4.985332489013672,3008.826398852224,0.1337256177267655
34,30.0,98.0,8.957386016845703,4.478693008422852,3349.1913760979505,0.1488529500487978
35,30.0,98.0,11.386394500732422,5.693197250366211,2722.5475103647555,0.12100211157176691
36,30.0,98.0,15.851259231567383,7.925629615783691,1955.6805896066783,0.08691913731585237
37,30.0,98.0,11.690378189086914,5.845189094543457,2651.7533905736955,0.1178557062477198
38,30.0,98.0,9.45901870727539,4.729509353637695,3171.576347229924,0.14095894876577442
39,31.0,98.0,9.932994842529297,4.966497421264648,3120.9117181124284,0.1387071874716635
40,31.0,98.0,8.527517318725586,4.263758659362793,3635.290183688875,0.16156845260839445
41,31.0,98.0,10.045528411865234,5.022764205932617,3085.9501590164714,0.13715334040073207
42,31.0,98.0,12.083292007446289,6.0416460037231445,2482.7671119354395,0.11034520497490842
43,31.0,98.0,6.350278854370117,3.1751394271850586,4881.675389525061,0.21696335064555827
44,31.0,98.0,13.452768325805664,6.726384162902832,2230.0242800177225,0.09911219022300989
45,31.0,98.0,14.25790786743164,7.12895393371582,2174.2320323734994,0.09663253477215553
46,31.0,98.0,9.768962860107422,4.884481430053711,3173.3153707228976,0.14103623869879545
47,31.0,98.0,11.72780990600586,5.86390495300293,2643.289774344379,0.11747954552641685
48,31.0,98.0,9.732246398925781,4.866123199462891,3185.2872121509063,0.1415683205400403
49,31.0,98.0,6.2465667724609375,3.1232833862304688,4962.726106870229,0.22056560474978795
50,31.0,98.0,8.523941040039062,4.261970520019531,3519.4987692996197,0.15642216752442753
51,31.0,98.0,10.04338264465332,5.02169132232666,2987.0414243323444,0.1327573966369931
52,31.0,98.0,11.049270629882812,5.524635314941406,2715.1113412739514,0.12067161516773117
53,31.0,98.0,10.280132293701172,5.140066146850586,3015.525395426504,0.13402335090784462
54,31.0,98.0,13.675928115844727,6.837964057922363,2266.7565767681876,0.10074473674525278
55,31.0,98.0,12.151002883911133,6.075501441955566,2551.229745904052,0.11338798870684676
56,31.0,98.0,8.82863998413086,4.41431999206543,3511.2995949230353,0.15605775977435712
57,31.0,98.0,11.771202087402344,5.885601043701172,2633.5458154419507,0.11704648068630892
58,31.0,98.0,14.274120330810547,7.137060165405273,2171.7625521964255,0.09652278009761892
59,32.0,98.0,11.937618255615234,5.968809127807617,2596.832913920511,0.11541479617424494
60,32.0,98.0,14.536857604980469,7.268428802490234,2132.5103982155742,0.09477823992069219
61,32.0,98.0,9.289741516113281,4.644870758056641,3337.0142695821783,0.1483117453147635
62,32.0,98.0,11.898040771484375,5.9490203857421875,2605.4709842898365,0.11579871041288162
63,32.0,98.0,14.691829681396484,7.345914840698242,2110.016292882412,0.09377850190588498
64,32.0,98.0,13.41867446899414,6.70933723449707,2310.213283110053,0.10267614591600235
65,32.0,98.0,11.925697326660156,5.962848663330078,2515.576169532187,0.11180338531254165
