Packet ID,Temperature (°C),Humidity (%),RTT (ms),Latency (ms),Throughput (Bytes/s),PRB (units)
1,29.0,47.0,70.40953636169434,35.20476818084717,411.87602558589185,0.01830560113715075
2,29.0,47.0,6.638765335083008,3.319382667541504,4518.912551625067,0.200840557850003
3,29.0,47.0,9.172201156616211,4.5861005783081055,3270.7525148813393,0.14536677843917065
4,29.0,47.0,10.315656661987305,5.157828330993652,2908.2007072364618,0.12925336476606497
5,29.0,47.0,14.672040939331055,7.336020469665527,2044.7053088285477,0.09087579150349101
6,29.0,47.0,8.835315704345703,4.417657852172852,3395.4644071455555,0.15090952920646913
7,29.0,47.0,10.323047637939453,5.161523818969727,2906.118527414661,0.1291608234406516
8,29.0,47.0,14.24717903137207,7.123589515686035,2105.6800040162657,0.09358577795627847
9,29.0,47.0,13.997554779052734,6.998777389526367,2143.231476750128,0.09525473230000568
10,29.0,47.0,9.618043899536133,4.809021949768066,3223.108599191889,0.14324927107519506
11,29.0,47.0,10.23554801940918,5.11777400970459,3028.6605017353427,0.13460713341045968
12,29.0,48.0,14.129161834716797,7.064580917358398,2194.043805473997,0.09751305802106654
13,29.0,48.0,17.561674118041992,8.780837059020996,1765.2075645881698,0.078453669537252
14,29.0,49.0,12.056827545166016,6.028413772583008,2571.1572869290094,0.11427365719684486
15,29.0,50.0,15.327215194702148,7.663607597351074,2022.5461446326628,0.08989093976145168
16,29.0,51.0,14.352083206176758,7.176041603088379,2159.9651809890856,0.0959984524884038
17,29.0,52.0,19.324779510498047,9.662389755249023,1604.1580181113825,0.07129591191606144
18,29.0,56.0,11.188983917236328,5.594491958618164,2770.582228851481,0.12313698794895471
19,29.0,57.0,7.38215446472168,3.69107723236084,4199.31608694248,0.1866362705307769
20,29.0,58.0,14.124393463134766,7.062196731567383,2194.7845109888253,0.09754597826617001
21,29.0,59.0,15.022993087768555,7.511496543884277,1996.938947167955,0.08875284209635355
22,29.0,60.0,14.207124710083008,7.103562355041504,2182.0037926462937,0.09697794633983528
23,29.0,61.0,9.809494018554688,4.904747009277344,3160.203772117441,0.1404535009829974
24,29.0,62.0,10.487794876098633,5.243897438049316,2955.816772374912,0.13136963432777388
25,29.0,63.0,14.015674591064453,7.007837295532227,2211.809342360426,0.09830263743824115
26,29.0,64.0,9.866952896118164,4.933476448059082,3141.8007490636705,0.13963558884727426
27,29.0,65.0,10.403633117675781,5.201816558837891,2787.48776239802,0.12388834499546755
28,29.0,67.0,14.150619506835938,7.075309753417969,2190.7168081951745,0.09736519147534109
29,29.0,68.0,17.91238784790039,8.956193923950195,1730.645867163583,0.07691759409615924
30,29.0,68.0,7.208347320556641,3.6041736602783203,4161.841635245089,0.18497073934422617
31,29.0,69.0,9.952545166015625,4.9762725830078125,3014.3043311613646,0.13396908138494953
32,29.0,69.0,9.226560592651367,4.613280296325684,3359.8652161554564,0.1493273429402425
33,29.0,70.0,12.271642684936523,6.135821342468262,2526.1491713780574,0.11227329650569144
34,29.0,71.0,15.789508819580078,7.894754409790039,1963.3289644550478,0.087259065086891
35,29.0,72.0,6.395816802978516,3.197908401489258,4690.565868933125,0.20846959417480554
