Packet ID,Temperature (°C),Humidity (%),RTT (ms),Latency (ms),Throughput (Bytes/s),PRB (units)
1,29.0,47.0,4.258871078491211,2.1294355392456055,7044.120248558473,0.31307201104704324
2,29.0,47.0,11.062145233154297,5.531072616577148,2711.951377214535,0.120531172320646
3,29.0,47.0,8.68988037109375,4.344940185546875,3337.2151009657596,0.14832067115403375
4,29.0,47.0,10.183095932006836,5.091547966003418,2946.0588607150385,0.13093594936511282
5,29.0,47.0,9.301185607910156,4.650592803955078,3225.3952629960013,0.14335090057760005
6,29.0,47.0,9.722232818603516,4.861116409301758,3085.7109225562804,0.13714270766916803
7,29.0,47.0,8.763790130615234,4.381895065307617,3423.1764513847324,0.15214117561709922
8,29.0,47.0,15.497684478759766,7.748842239379883,1935.7730531368265,0.08603435791719229
9,29.0,48.0,19.608497619628906,9.804248809814453,1529.94893244492,0.06799773033088534
10,29.0,48.0,13.840913772583008,6.920456886291504,2239.7365166313543,0.09954384518361575
11,29.0,50.0,15.587568283081055,7.793784141540527,1860.456966304165,0.0826869762801851
12,29.0,51.0,10.362625122070312,5.181312561035156,2991.5199705503405,0.1329564431355707
13,29.0,52.0,13.9617919921875,6.98089599609375,2220.3453551912567,0.09868201578627807
14,29.0,53.0,15.164852142333984,7.582426071166992,2044.2006100053454,0.09085336044468202
15,29.0,53.0,18.85843276977539,9.429216384887695,1643.8269488482642,0.0730589755043673
16,29.0,55.0,12.108087539672852,6.054043769836426,2560.272206360146,0.11378987583822871
17,29.0,56.0,12.425899505615234,6.212949752807617,2494.7892091024214,0.11087952040455207
18,29.0,57.0,13.864517211914062,6.932258605957031,2235.9235107992845,0.09937437825774598
19,29.0,58.0,9.529352188110352,4.764676094055176,3043.2289023993594,0.13525461788441598
20,29.0,63.0,25.277137756347656,12.638568878173828,1226.4046783625731,0.05450687459389214
21,29.0,64.0,17.195463180541992,8.597731590270996,1744.6462293581799,0.07753983241591911
22,29.0,66.0,10.359764099121094,5.179882049560547,2992.3461290619534,0.13299316129164238
23,29.0,67.0,9.036540985107422,4.518270492553711,3430.5161732890083,0.15246738547951147
24,29.0,68.0,10.507345199584961,5.2536725997924805,2855.1455605727124,0.12689535824767612
25,29.0,69.0,9.674787521362305,4.837393760681152,3204.2047364400305,0.14240909939733468
26,29.0,70.0,9.450435638427734,4.725217819213867,3280.2720621625713,0.1457898694294476
27,29.0,71.0,17.10057258605957,8.550286293029785,1754.3272220285814,0.07797009875682584
28,29.0,71.0,6.378173828125,3.1890869140625,4860.3253588516745,0.21601446039340777
29,29.0,72.0,12.990236282348633,6.495118141174316,2386.407708543636,0.1060625648241616
30,29.0,72.0,16.211509704589844,8.105754852294922,1912.2216600976528,0.08498762933767345
31,29.0,74.0,11.748790740966797,5.874395370483398,2553.4542798003167,0.11348685688001407
32,30.0,74.0,12.246370315551758,6.123185157775879,2531.362289496739,0.1125049906442995
33,30.0,75.0,15.100240707397461,7.5501203536987305,2052.9474066471935,0.09124210696209749
34,30.0,76.0,21.459102630615234,10.729551315307617,1444.6084038841855,0.06420481795040825
35,30.0,77.0,9.865999221801758,4.932999610900879,3040.7462361953553,0.13514427716423802
36,30.0,78.0,11.635541915893555,5.817770957946777,2664.250640329488,0.11841113957019946
37,30.0,79.0,14.451980590820312,7.225990295410156,2145.0347103075096,0.0953348760136671
38,30.0,79.0,15.21158218383789,7.605791091918945,2037.920817529231,0.09057425855685472
39,30.0,80.0,14.049768447875977,7.024884223937988,2206.442057391098,0.09806409143960436
40,30.0,82.0,15.44189453125,7.720947265625,1942.7667984189723,0.0863451910408432
41,30.0,83.0,16.88361167907715,8.441805839538574,1836.100035303255,0.08160444601347801
42,30.0,84.0,6.974458694458008,3.487229347229004,4444.789389122483,0.19754619507211035
43,30.0,85.0,9.807109832763672,4.903554916381836,3059.0052025088735,0.13595578677817216
44,30.0,86.0,10.493278503417969,5.246639251708984,2954.272107607016,0.13130098256031184
45,30.0,90.0,12.565135955810547,6.282567977905273,2467.1440173048463,0.10965084521354873
46,30.0,91.0,17.842769622802734,8.921384811401367,1681.3533231780646,0.07472681436346953
47,30.0,92.0,11.206865310668945,5.603432655334473,2766.16155728114,0.12294051365693956
48,30.0,94.0,10.14852523803711,5.074262619018555,2956.094535544801,0.13138197935754672
49,31.0,93.0,10.967731475830078,5.483865737915039,2826.473283770271,0.12562103483423426
50,31.0,95.0,11.022329330444336,5.511164665222168,2812.4726698535615,0.12499878532682496
51,31.0,95.0,7.620811462402344,3.810405731201172,4067.80828431986,0.18079147930310488
52,31.0,98.0,17.082929611206055,8.541464805603027,1814.677031723214,0.08065231252103174
53,31.0,98.0,14.403343200683594,7.201671600341797,2152.2780904456067,0.09565680401980474
54,31.0,98.0,15.516042709350586,7.758021354675293,1997.9321132777086,0.0887969828123426
55,31.0,98.0,16.948223114013672,8.474111557006836,1711.0938300087219,0.0760486146670543
56,31.0,98.0,11.680126190185547,5.840063095092773,2568.465401102266,0.11415401782676737
57,31.0,98.0,9.643316268920898,4.821658134460449,3214.661754889114,0.1428738557728495
58,31.0,98.0,10.382413864135742,5.191206932067871,2985.8181734677473,0.1327030299318999
59,31.0,98.0,13.96632194519043,6.983160972595215,2219.6251899144745,0.09865000844064331
60,31.0,98.0,11.43646240234375,5.718231201171875,2710.628418945964,0.12047237417537617
61,31.0,98.0,8.724212646484375,4.3621063232421875,3438.705728027984,0.15283136569013264
62,31.0,98.0,7.829904556274414,3.914952278137207,3959.1798057306414,0.17596354692136185
63,31.0,98.0,9.063243865966797,4.531621932983398,3420.4089019834796,0.152018173421488
64,31.0,98.0,10.224580764770508,5.112290382385254,3031.9091523842835,0.13475151788374592
