Packet ID,Temperature (°C),Humidity (%),RTT (ms),Latency (ms),Throughput (Bytes/s),PRB (units)
1,28.0,48.0,0.0,0.0,30.0,0.0013333333333333333
2,28.0,48.0,18.368244171142578,9.184122085571289,1633.253550011682,0.07258904666718587
3,28.0,55.0,43.263912200927734,21.631956100463867,693.4185669726995,0.030818602976564424
4,28.0,69.0,78.14288139343262,39.07144069671631,383.9121294869644,0.01706276131053175
5,29.0,71.0,20.642518997192383,10.321259498596191,1453.3110035689124,0.06459160015861833
6,29.0,79.0,14.638423919677734,7.319211959838867,2049.400957685918,0.09108448700826302
7,30.0,79.0,26.526689529418945,13.263344764709473,1093.238565175578,0.04858838067447013
8,30.0,88.0,14.209270477294922,7.104635238647461,2040.9211047350582,0.09070760465489147
9,31.0,91.0,14.967203140258789,7.4836015701293945,1937.5697468818198,0.08611421097252532
10,31.0,93.0,35.813331604003906,17.906665802001953,865.5994461161558,0.03847108649405137
11,32.0,95.0,20.08962631225586,10.04481315612793,1543.0849493247254,0.06858155330332112
12,32.0,98.0,35.552024841308594,17.776012420654297,843.8337938249416,0.03750372416999741
13,33.0,98.0,44.2657470703125,22.13287353515625,700.3157531885556,0.03112514458615803
14,33.0,98.0,27.887821197509766,13.943910598754883,1111.596340942122,0.04940428181964986
15,33.0,98.0,31.82363510131836,15.91181755065918,974.1187611441586,0.043294167161962605
16,34.0,98.0,33.53476524353027,16.767382621765137,924.4138068323202,0.041085058081436455
17,34.0,98.0,56.94079399108887,28.470396995544434,544.4251445607072,0.024196673091586986
18,33.0,83.0,20.520448684692383,10.260224342346191,1510.6882152691446,0.06714169845640643
19,32.0,67.0,14.932870864868164,7.466435432434082,2008.9907876039788,0.08928847944906572
20,32.0,55.0,29.56986427307129,14.784932136535645,1014.5464220923201,0.04509095209299201
21,32.0,51.0,48.44307899475098,24.22153949737549,639.9262937716859,0.028441168612074928
22,31.0,48.0,39.182186126708984,19.591093063354492,791.1758649645252,0.03516337177620112
23,31.0,47.0,19.82593536376953,9.912967681884766,1513.169464620713,0.06725197620536502
24,31.0,46.0,24.960994720458984,12.480497360229492,1241.9376850631363,0.0551972304472505
25,31.0,46.0,26.04222297668457,13.021111488342285,1190.374570855725,0.05290553648247667
26,31.0,45.0,24.773120880126953,12.386560440063477,1251.3562643158239,0.055615833969592174
27,30.0,45.0,76.6148567199707,38.30742835998535,404.6212618174802,0.01798316719188801
28,30.0,45.0,35.03298759460449,17.516493797302246,884.8802836551222,0.03932801260689432
29,30.0,45.0,24.275541305541992,12.137770652770996,1277.0055097771535,0.056755800434540156
30,30.0,45.0,22.563695907592773,11.281847953796387,1329.569416413952,0.05909197406284231
31,30.0,45.0,25.943279266357422,12.971639633178711,1194.9144779164446,0.053107310129619764
32,30.0,46.0,89.49899673461914,44.74949836730957,335.1992881993468,0.014897746142193193
33,30.0,46.0,41.18847846984863,20.594239234924316,752.6376586766382,0.033450562607850585
34,29.0,47.0,28.363704681396484,14.181852340698242,1092.946085436175,0.048575381574941116
35,29.0,47.0,20.717382431030273,10.358691215515137,1448.059382012774,0.06435819475612328
36,29.0,47.0,33.807992935180664,16.903996467590332,916.9429270597527,0.04075301898043345
37,29.0,47.0,24.75714683532715,12.378573417663574,1252.1636764606747,0.055651718953807765
38,29.0,47.0,22.0644474029541,11.03222370147705,1359.6533578259225,0.06042903812559656
39,29.0,47.0,28.050661087036133,14.025330543518066,1105.1432942636397,0.04911747974505066
40,29.0,47.0,61.51318550109863,30.756592750549316,503.95699308152945,0.02239808858140131
41,29.0,47.0,53.39384078979492,26.69692039489746,580.5913105603929,0.025804058247128572
42,29.0,47.0,22.702455520629883,11.351227760314941,1321.4429590111424,0.058730798178272994
43,29.0,48.0,19.645214080810547,9.822607040405273,1527.0894924634092,0.06787064410948486
44,29.0,48.0,34.20829772949219,17.104148864746094,906.2128798438807,0.040276127993061364
45,29.0,48.0,28.920650482177734,14.460325241088867,1071.8984353102176,0.047639930458231894
46,29.0,48.0,48.04682731628418,24.02341365814209,645.203892359681,0.028675728549319157
47,29.0,48.0,24.500608444213867,12.250304222106934,1265.2747000379513,0.056234431112797835
48,29.0,48.0,23.639202117919922,11.819601058959961,1311.3809783156833,0.05828359903625259
49,29.0,48.0,15.070915222167969,7.535457611083984,2056.9420996013414,0.09141964887117073
50,29.0,48.0,18.6617374420166,9.3308687210083,1661.1529390722217,0.07382901951432096
51,29.0,48.0,24.142742156982422,12.071371078491211,1284.0297841243507,0.0570679904055267
52,29.0,48.0,16.299962997436523,8.149981498718262,1901.8448081676831,0.0845264359185637
53,29.0,48.0,24.097204208374023,12.048602104187012,1286.4562931008895,0.05717583524892842
54,29.0,48.0,26.555776596069336,13.277888298034668,1167.3543000278319,0.051882413334570304
55,29.0,48.0,20.760297775268555,10.380148887634277,1493.2348435256963,0.0663659930455865
56,28.0,48.0,24.886608123779297,12.443304061889648,1245.6498630031997,0.05536221613347554
57,28.0,48.0,18.867969512939453,9.433984756469727,1589.9962091536304,0.0706664981846058
58,28.0,48.0,21.541833877563477,10.770916938781738,1439.0603964450545,0.06395823984200243
59,28.0,48.0,13.56649398803711,6.783246994018555,2285.0413693719024,0.10155739419430677
60,28.0,48.0,65.1857852935791,32.59289264678955,460.22303581813327,0.02045435714747259
